Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-1,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199",4.0 out of 5 stars,"54,988"
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-2,Half Moon Large 37L Laptop,₹849,3.9 out of 5 stars,"3,270"
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-3,Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop,₹649,3.9 out of 5 stars,"16,650"
https://www.amazon.in/gp/bestsellers/luggage/2917444031/ref=sr_bs_3_2917444031_1,Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"5,238"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-5,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office,₹550,4.3 out of 5 stars,"11,916"
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_5_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,299",4.3 out of 5 stars,607
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-7,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop,₹689,3.8 out of 5 stars,"2,337"
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-8,Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"₹1,125",4.4 out of 5 stars,"5,941"
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-9,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop,₹987,4.4 out of 5 stars,"5,937"
https://www.amazon.in/Hammonds-Flycatcher-Leather-Messenger-LB190BRN/dp/B083M1QK32/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-10,HAMMONDS FLYCATCHER Laptop,"₹5,255",4.4 out of 5 stars,573
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-11,Wesley Spartan Unisex Travel Hiking Laptop,₹749,4.1 out of 5 stars,"1,572"
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-12,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,₹248,4.0 out of 5 stars,"20,090"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-13,ADISA 15.6 inch Laptop Backpack Office,₹549,3.9 out of 5 stars,"1,035"
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-14,Half Moon Aztec 37L School,₹649,3.6 out of 5 stars,166
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-15,Half Moon Large 37L Laptop,₹849,3.9 out of 5 stars,"3,270"
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690514431&sprefix=ba%2Caps%2C283&sr=8-16,Gear CarryOn 16L Foldable Water Resistant School,₹229,3.7 out of 5 stars,"6,871"
https://www.amazon.in/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-65,Gear DOUBLE DECKER 31L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Navy-Tan),"₹1,295",3.5 out of 5 stars,19
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-66,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹599,4.0 out of 5 stars,"1,466"
https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-67,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)","₹1,099",4.2 out of 5 stars,"1,418"
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-68,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹839,4.3 out of 5 stars,"3,771"
https://www.amazon.in/ROZEN-School-partition-Collage-Backpack/dp/B0BRTCFQ5G/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-69,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",₹697,4.0 out of 5 stars,161
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-70,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹670,4.0 out of 5 stars,"4,981"
https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZHX3B1/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-71,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black)",₹512,3.9 out of 5 stars,335
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-72,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",₹599,3.8 out of 5 stars,907
